""
Product,Price,Sales,Customer Satisfaction
Product A,10,500,80
Product B,15,600,85
Product C,12,450,75
Product D,20,700,90
Product E,25,650,88
Product F,30,300,70
Product G,18,520,78
Product H,22,480,83
Product I,28,310,72
Product J,35,290,68
Product K,40,260,65
Product L,8,570,82
Product M,14,610,87
Product N,16,530,80
Product O,19,490,85
Product P,27,320,73
Product Q,33,280,67
Product R,11,550,81
Product S,24,640,89
Product T,29,305,71
Product U,21,470,84
Product V,17,560,86
Product W,23,460,79
Product X,13,620,88
Product Y,26,630,90
Product Z,32,285,69
""
