""
Topic,Number of Exhibits,Visitors per Year (Millions),Curator Satisfaction (1-10)
Natural History Museum,95,8.5,9.0
Art Gallery,150,7.2,8.3
Science Museum,120,5.8,7.5
Modern Art Museum,200,9.1,8.9
Children's Museum,60,6.3,9.4
Historical Museum,80,7.0,8.7
Cultural Heritage Museum,110,5.5,8.2
Space Exploration Museum,70,6.8,9.1
Aquarium,130,8.0,7.8
Zoo,170,10.2,8.4
Botanical Garden,90,4.9,7.9
Dinosaur Museum,55,6.1,9.2
War Museum,75,7.4,8.1
Automobile Museum,85,5.7,8.6
Fashion Museum,100,6.9,7.4
Ethnographic Museum,50,4.5,7.7
""
