""
Country,Continent,Number_of_Universities,Education_Spending,GDP_per_Capita
United States,North America,3982,6.1,65112
United Kingdom,Europe,1334,5.5,42980
Germany,Europe,1077,4.9,47459
France,Europe,736,5.4,40493
China,Asia,2922,4.0,10403
India,Asia,642,3.1,2190
Japan,Asia,779,3.5,40715
Brazil,South America,1015,5.2,8919
Russia,Europe,950,3.8,11289
Canada,North America,317,6.0,46233
Australia,Oceania,141,5.8,55194
South Korea,Asia,366,5.0,31346
Italy,Europe,484,4.1,35451
Spain,Europe,487,4.2,31571
Mexico,North America,382,4.9,9831
South Africa,Africa,192,5.4,6441
Argentina,South America,126,6.0,9955
Saudi Arabia,Asia,35,6.4,23208
Netherlands,Europe,246,5.8,53083
Sweden,Europe,151,7.0,54915
""
