""
Age Group,Hours per day,Number of Users,Platform
13-18,1.2,520000,TikTok
13-18,2.1,420000,Instagram
13-18,0.7,210000,Twitter
19-25,3.2,820000,TikTok
19-25,2.7,710000,Instagram
19-25,2.1,320000,Twitter
26-35,2.5,620000,TikTok
26-35,1.8,510000,Instagram
26-35,1.2,260000,Twitter
36-45,1.5,320000,TikTok
36-45,1.1,220000,Instagram
36-45,0.9,170000,Twitter
46-55,0.8,120000,TikTok
46-55,0.4,90000,Instagram
46-55,0.3,60000,Twitter
56+,0.4,55000,TikTok
56+,0.2,35000,Instagram
56+,0.1,25000,Twitter
""
