""
Topic,Company,Market_Cap,Bubble_Size,Color
Business & Entrepreneurship,Apple,2600,150,#1f77b4
Business & Entrepreneurship,Microsoft,2500,140,#ff7f0e
Business & Entrepreneurship,Amazon,1700,130,#2ca02c
Business & Entrepreneurship,Google,1600,120,#d62728
Business & Entrepreneurship,Berkshire Hathaway,700,110,#9467bd
Business & Entrepreneurship,Facebook,600,100,#8c564b
Business & Entrepreneurship,Tesla,800,90,#e377c2
Business & Entrepreneurship,Alibaba,700,80,#7f7f7f
Business & Entrepreneurship,Tencent,500,70,#bcbd22
Business & Entrepreneurship,Johnson & Johnson,450,60,#17becf
Business & Entrepreneurship,Procter & Gamble,350,50,#1f77b4
Business & Entrepreneurship,JPMorgan Chase,450,50,#ff7f0e
Business & Entrepreneurship,Nestle,300,40,#2ca02c
Business & Entrepreneurship,Visa,350,40,#d62728
Business & Entrepreneurship,Roche,300,30,#9467bd
Business & Entrepreneurship,Mastercard,300,30,#8c564b
Business & Entrepreneurship,ExxonMobil,350,20,#e377c2
Business & Entrepreneurship,Chevron,300,20,#7f7f7f
Business & Entrepreneurship,Walmart,400,20,#bcbd22
Business & Entrepreneurship,Samsung,450,10,#17becf
""
