""
Country,Year,Tourists,Revenue
France,2022,89000000,70000000000
Spain,2022,84000000,68000000000
USA,2022,79000000,72000000000
China,2022,60000000,50000000000
Italy,2022,58000000,45000000000
Turkey,2022,46000000,35000000000
Mexico,2022,45000000,38000000000
Thailand,2022,41000000,31000000000
Germany,2022,39000000,36000000000
UK,2022,38000000,34000000000
Japan,2022,32000000,29000000000
Austria,2022,30000000,26000000000
Greece,2022,29000000,27000000000
Malaysia,2022,26000000,25000000000
Russia,2022,25000000,24000000000
Canada,2022,24000000,23000000000
Australia,2022,23000000,22000000000
South Korea,2022,22000000,21000000000
Netherlands,2022,20000000,20000000000
Brazil,2022,19000000,19000000000
""
