""
Country,Number of Books,Average Price,Monthly Sales
United States,50000,25,60000
Germany,12000,18,15000
Brazil,35000,15,22000
Canada,10000,22,12000
Australia,8000,28,7000
Japan,15000,20,17000
United Kingdom,13000,30,14000
China,70000,12,80000
South Korea,9000,24,10000
India,30000,10,40000
Italy,9000,19,6000
France,11000,21,8000
Spain,10000,23,7000
Russia,18000,14,12000
Mexico,15000,13,10000
Indonesia,25000,11,20000
South Africa,7000,17,5000
Saudi Arabia,5000,26,4000
Turkey,14000,16,9000
Argentina,8000,15,6000
""
