""
Age Group,Food Type,Average Weekly Consumption (lbs),Number of Participants
10-20,Fruits,4,200000
10-20,Vegetables,5,220000
10-20,Meat,3,180000
10-20,Dairy,6,250000
21-30,Fruits,6,300000
21-30,Vegetables,7,320000
21-30,Meat,5,290000
21-30,Dairy,4,270000
31-40,Fruits,5,270000
31-40,Vegetables,8,280000
31-40,Meat,6,260000
31-40,Dairy,5,250000
41-50,Fruits,3,210000
41-50,Vegetables,6,230000
41-50,Meat,4,220000
41-50,Dairy,5,240000
51-60,Fruits,4,190000
51-60,Vegetables,5,200000
51-60,Meat,3,180000
51-60,Dairy,4,210000
60+,Fruits,5,150000
60+,Vegetables,6,160000
60+,Meat,2,130000
60+,Dairy,3,140000
""
