""
Country,Literacy Rate (%),Govt Expenditure on Education (billions),Number of Universities
United States,99,700,4316
Germany,99,160,429
India,74,150,8500
China,97,550,3000
United Kingdom,99,110,130
Japan,99,90,783
Brazil,93,35,2370
Canada,99,95,223
Australia,99,65,43
France,99,120,77
Russia,99,50,896
South Korea,99,55,430
Italy,99,70,96
Spain,98,60,76
Mexico,95,50,196
Indonesia,93,30,300
Turkey,96,50,200
Saudi Arabia,94,20,28
South Africa,87,20,25
Nigeria,62,10,150
Egypt,75,20,40
Vietnam,95,25,235
Bangladesh,74,10,150
Pakistan,60,10,200
Philippines,94,20,1200
Argentina,98,30,115
Colombia,95,20,86
Iran,85,40,61
Ukraine,99,15,300
Thailand,93,25,170
""
