""
Cities,Population,Internet Users
New York,8419000,7890000
Los Angeles,3980000,3500000
Chicago,2716000,2500000
Houston,2328000,2100000
Phoenix,1690000,1600000
Philadelphia,1584000,1450000
San Antonio,1547000,1400000
San Diego,1424000,1300000
Dallas,1341000,1250000
San Jose,1035000,980000
Austin,993000,900000
Jacksonville,903000,820000
Fort Worth,902000,810000
Columbus,898000,800000
Charlotte,873000,780000
Detroit,670000,600000
El Paso,681000,620000
Seattle,745000,690000
Denver,727000,670000
Washington D.C.,705000,650000
Boston,692000,640000
Nashville,693000,650000
Oklahoma City,655000,610000
Las Vegas,651000,600000
Portland,653000,610000
""
