""
Country,Average Temperature (°C),Annual Rainfall (mm),Population (thousands)
China,15.3,600,1395000
United States,12.6,715,331000
India,24.5,1080,1380000
Russia,-5.5,460,144500
Japan,16.2,1700,126500
Germany,10.3,700,83200
Canada,-5.6,530,38000
Brazil,25.0,1750,212500
South Korea,11.8,1300,51200
Australia,21.5,350,25600
Mexico,23.2,850,127600
Indonesia,26.0,2300,273500
Nigeria,27.0,1200,206000
United Kingdom,9.7,1150,67800
France,11.3,850,65200
Italy,13.9,750,60400
Spain,15.5,640,47400
South Africa,17.3,600,59300
Argentina,14.8,850,45100
Turkey,12.5,570,84200
""
