""
Country,Life Expectancy,Healthcare Spending,GDP
Norway,82.9,10.5,434.2
Finland,81.7,9.1,286.8
South Korea,82.8,8.1,1781.9
Japan,84.6,10.9,4937.5
United States,78.9,16.9,21433.2
Canada,82.0,10.7,1736.4
Brazil,75.9,9.6,1445.2
India,69.4,3.5,2875.1
China,76.9,5.3,14140.2
South Africa,64.1,8.1,351.4
Germany,81.1,11.2,3806.1
France,82.4,11.5,2778.7
United Kingdom,81.2,10.0,2827.1
Australia,83.4,9.4,1392.7
Mexico,76.1,5.9,1260.6
Russia,72.6,5.1,1638.8
Nigeria,54.3,3.8,432.3
Indonesia,71.5,3.1,1051.9
Argentina,76.4,8.2,450.5
Turkey,78.5,6.3,754.0
Spain,83.5,9.2,1354.1
Italy,83.2,8.9,1921.5
Netherlands,82.1,10.1,912.9
Sweden,82.4,10.9,541.1
""
