""
Country,Obesity Rate (%),Average Calorie Intake (kcal),Life Expectancy (years),Population (Millions)
United States,36.2,3770,78.6,331
Mexico,28.9,3460,75.1,129
New Zealand,30.8,3240,82.0,5
Australia,29.0,3340,82.9,25
United Kingdom,27.8,3400,81.3,67
Canada,29.4,3480,82.3,38
Germany,22.3,3560,81.2,83
France,21.6,3260,82.6,65
Italy,19.9,3100,83.4,60
Spain,23.8,3150,83.3,47
Brazil,22.1,3000,75.9,212
Argentina,28.3,3150,76.5,45
China,6.2,3060,76.7,1439
India,3.9,2450,69.4,1380
Russia,23.1,3270,72.6,146
Japan,4.3,2760,84.5,126
South Korea,5.3,2990,83.3,51
Saudi Arabia,33.7,3010,75.0,35
Turkey,32.1,2850,75.9,84
South Africa,28.3,2990,64.1,60
""
