""
Countries,Book Sales,Online Courses,Reading Index
USA,500,350,0.92
UK,450,300,0.88
Canada,300,200,0.90
Australia,250,150,0.85
Germany,400,250,0.87
France,350,220,0.89
Japan,600,400,0.94
China,700,450,0.80
India,650,430,0.78
Brazil,220,170,0.75
South Korea,480,320,0.91
Spain,280,190,0.82
Italy,260,180,0.81
Russia,330,240,0.76
Mexico,210,160,0.74
Netherlands,290,210,0.83
Saudi Arabia,270,200,0.79
Switzerland,310,230,0.86
Turkey,230,170,0.73
Argentina,190,150,0.70
Nigeria,150,120,0.65
Egypt,170,130,0.67
Pakistan,200,160,0.69
Vietnam,180,140,0.68
Indonesia,160,125,0.66
""
