""
Author,Books Sold,Years Active,Popularity
J.K. Rowling,500000000,25,95
Stephen King,350000000,50,90
James Patterson,300000000,45,85
Agatha Christie,2000000000,56,93
George R.R. Martin,90000000,50,80
Dan Brown,220000000,25,88
J.R.R. Tolkien,150000000,45,96
Harper Lee,40000000,20,70
Ernest Hemingway,40000000,40,85
Jane Austen,100000000,41,92
Mark Twain,120000000,47,87
Charles Dickens,200000000,58,94
F. Scott Fitzgerald,25000000,20,83
Leo Tolstoy,80000000,41,86
Arthur Conan Doyle,100000000,40,89
Gabriel Garcia Marquez,50000000,30,84
J.D. Salinger,65000000,30,79
Isabel Allende,70000000,35,78
Toni Morrison,10000000,48,82
Margaret Atwood,20000000,54,81
John Grisham,275000000,40,86
Neil Gaiman,60000000,35,80
""
