""
Cities,Book Sales (millions),Population (millions),Education Quality Index
Paris,4.2,2.14,85
London,5.8,8.98,88
Rome,3.1,2.87,82
New York,6.7,8.4,90
Tokyo,7.5,9.27,92
Dubai,4.0,3.3,80
Barcelona,3.8,1.62,84
Singapore,6.2,5.7,89
Bangkok,2.5,10.5,78
Istanbul,3.4,15.03,75
Hong Kong,5.0,7.4,87
Sydney,4.5,5.23,86
Los Angeles,5.2,3.99,83
Amsterdam,2.8,0.87,81
Berlin,3.7,3.65,84
Las Vegas,2.9,0.65,79
Miami,3.3,0.47,80
Vienna,3.6,1.9,85
Madrid,3.2,3.22,82
San Francisco,4.8,0.88,88
Toronto,4.1,2.93,84
Chicago,4.3,2.71,83
Boston,3.9,0.69,86
Moscow,4.4,12.54,76
Seoul,5.9,9.76,88
""
