""
Genre,Popularity,Ratings,Users
Science Fiction,8.5,4.7,120000
Fantasy,7.8,4.5,95000
Mystery,6.9,4.2,80000
Romance,7.2,4.3,70000
Thriller,8.0,4.6,110000
Horror,5.8,3.9,50000
Non-Fiction,6.5,4.1,60000
Historical Fiction,7.0,4.2,65000
Young Adult,7.5,4.4,85000
Children,6.8,4.0,45000
Classic,8.3,4.8,75000
Biography,7.1,4.3,55000
Self-Help,5.9,3.8,35000
Poetry,6.2,4.0,30000
Graphic Novel,7.6,4.5,40000
Dystopian,7.9,4.6,100000
Adventure,8.1,4.7,115000
Crime,6.7,4.1,57000
Drama,6.6,4.0,52000
Satire,5.5,3.7,25000
""
