""
Topic,Age Group,Interest Level,Participants,Activity
Fashion,13-18,90,150000,Clothing Trends
Fashion,19-25,85,200000,Clothing Trends
Fashion,26-35,75,180000,Clothing Trends
Fashion,36-45,70,120000,Clothing Trends
Fashion,46-55,65,80000,Clothing Trends
Fashion,56+,60,40000,Clothing Trends
Beauty,13-18,88,180000,Skincare Routines
Beauty,19-25,92,220000,Skincare Routines
Beauty,26-35,82,200000,Skincare Routines
Beauty,36-45,75,140000,Skincare Routines
Beauty,46-55,68,90000,Skincare Routines
Beauty,56+,58,50000,Skincare Routines
Accessories,13-18,85,160000,Fashion Accessories
Accessories,19-25,90,210000,Fashion Accessories
Accessories,26-35,78,170000,Fashion Accessories
Accessories,36-45,72,110000,Fashion Accessories
Accessories,46-55,65,70000,Fashion Accessories
Accessories,56+,55,30000,Fashion Accessories
""
