""
Topic, Day, Hours
Sketching, Monday, 2
Sketching, Tuesday, 3
Sketching, Wednesday, 2.5
Sketching, Thursday, 3.5
Sketching, Friday, 4
Sketching, Saturday, 5
Sketching, Sunday, 4.5
Painting, Monday, 1
Painting, Tuesday, 1.5
Painting, Wednesday, 2
Painting, Thursday, 2.5
Painting, Friday, 3
Painting, Saturday, 3.5
Painting, Sunday, 4
Digital Art, Monday, 2
Digital Art, Tuesday, 2.5
Digital Art, Wednesday, 3
Digital Art, Thursday, 3.5
Digital Art, Friday, 4
Digital Art, Saturday, 4.5
Digital Art, Sunday, 5
Photography, Monday, 1
Photography, Tuesday, 1.5
Photography, Wednesday, 2
Photography, Thursday, 2.5
Photography, Friday, 3
Photography, Saturday, 3.5
Photography, Sunday, 4
""
