""
Country, Happiness Score, Life Expectancy, Population
Finland, 7.8, 81.8, 5.5
Denmark, 7.6, 80.9, 5.8
Switzerland, 7.5, 83.6, 8.7
Iceland, 7.5, 82.4, 0.3
Norway, 7.4, 82.8, 5.4
Netherlands, 7.4, 82.1, 17.5
Sweden, 7.3, 82.6, 10.4
New Zealand, 7.3, 82.3, 4.9
Austria, 7.2, 82.1, 9.0
Luxembourg, 7.2, 82.3, 0.6
Canada, 7.2, 82.2, 38.0
Australia, 7.2, 82.9, 25.7
United Kingdom, 7.1, 81.4, 67.2
Israel, 7.1, 82.7, 9.3
Germany, 7.0, 81.0, 83.0
Ireland, 7.0, 82.3, 5.0
United States, 6.9, 78.9, 331.0
Czech Republic, 6.9, 79.3, 10.7
Belgium, 6.8, 81.6, 11.5
France, 6.7, 82.5, 65.3
""
