""
Topic: Education & Learning
""
destinations,student_enrollment,average_tuition,student_satisfaction
Harvard,31,52000,9.3
Stanford,28,48500,9.1
MIT,30,49800,9.2
Cambridge,21,45000,8.9
Oxford,22,44000,8.8
Caltech,20,54000,9.0
ETHZurich,19,38000,8.7
Imperial,17,46000,8.5
UChicago,16,53000,9.0
Princeton,18,49000,9.4
Columbia,29,52000,9.2
Yale,24,50000,9.3
UCBerkeley,40,42000,8.6
UCLA,44,40000,8.5
UCSD,38,39000,8.4
UIllinois,35,37000,8.3
UMichigan,46,41000,8.7
UTokyo,32,36000,8.8
Peking,34,34000,8.6
Tsinghua,33,35000,8.7
""
""
