""
Country,Population (Millions),Average Calorie Intake (kcal),Obesity Rate (%),Literacy Rate (%)
United States,331,3770,36.2,99
Mexico,129,3460,28.9,95
New Zealand,5,3240,30.8,99
Australia,25,3340,29,99
United Kingdom,67,3400,27.8,99
Canada,38,3480,29.4,99
Germany,83,3560,22.3,99
France,65,3260,21.6,99
Italy,60,3100,19.9,99
Spain,47,3150,23.8,99
Brazil,212,3000,22.1,92
Argentina,45,3150,28.3,99
China,1439,3060,6.2,97
India,1380,2450,3.9,74
Russia,146,3270,23.1,99
Japan,126,2760,4.3,99
South Korea,51,2990,5.3,99
Saudi Arabia,35,3010,33.7,97
Turkey,84,2850,32.1,96
South Africa,60,2990,28.3,87
Sweden,10,3400,20.6,99
Norway,5,3600,21.1,99
Netherlands,17,3300,20.4,99
Belgium,11,3250,22.2,99
Switzerland,9,3380,18.8,99
Austria,9,3260,19.9,99
Denmark,6,3390,20.5,99
Finland,5,3350,20.8,99
Ireland,5,3400,25.3,99
Portugal,10,3150,21.4,96
Greece,11,3200,24.9,97
""
