""
City,Average_Temperature,Annual_Participants,Event_Rating
Boston,16,30000,85
London,14,45000,90
Berlin,18,40000,88
Chicago,15,35000,87
New_York,12,50000,92
Tokyo,10,38000,89
Paris,20,25000,80
Los_Angeles,22,28000,78
Amsterdam,16,35000,84
Boston,16,32000,85
London,14,44000,90
Berlin,18,41000,88
Chicago,15,36000,87
New_York,12,51000,92
Tokyo,10,39000,89
Paris,20,26000,80
Los_Angeles,22,29000,78
Amsterdam,16,34000,84
Vienna,14,30000,83
Barcelona,20,32000,86
Sydney,18,29000,79
Boston,16,31000,85
London,14,46000,90
Berlin,18,42000,88
Chicago,15,37000,87
New_York,12,52000,92
Tokyo,10,40000,89
Paris,20,27000,80
Los_Angeles,22,30000,78
Amsterdam,16,33000,84
Vienna,14,31000,83
Barcelona,20,33000,86
Sydney,18,28000,79
""
