""
Country,GDP(Billions),Population(Millions),HDI
United States,21433,331,0.926
China,14343,1439,0.761
Japan,5081,126,0.919
Germany,3861,83,0.947
India,2875,1380,0.647
United Kingdom,2827,68,0.932
France,2715,65,0.901
Brazil,1444,213,0.765
Italy,2001,60,0.892
Canada,1736,38,0.929
Russia,1690,146,0.824
South Korea,1650,52,0.916
Spain,1394,47,0.904
Australia,1390,25,0.944
Mexico,1217,129,0.779
Indonesia,1119,276,0.718
Netherlands,907,17,0.944
Saudi Arabia,793,35,0.859
Turkey,761,84,0.820
Switzerland,703,9,0.955
""
