""
Category,Type,Visitors,Revenue,Expenditure,Popularity
Museum,Exhibits,20000,300000,250000,80
Library,Books,15000,200000,150000,70
Park,Events,25000,100000,50000,90
Gallery,Artworks,10000,150000,100000,60
Zoo,Animals,22000,250000,200000,85
Theater,Performances,18000,220000,170000,75
Stadium,Sports,27000,300000,200000,95
Cinema,Movies,19000,180000,130000,72
Beach,Recreation,23000,50000,20000,88
Historic Site,Tours,16000,140000,90000,65
Festival,Concerts,30000,250000,150000,92
Aquarium,Marine Life,21000,200000,160000,83
Botanical Garden,Flora,24000,110000,60000,87
Amusement Park,Rides,28000,350000,280000,97
Planetarium,Shows,17000,190000,140000,68
Science Center,Interactive,20000,210000,160000,80
""
