""
Country,Continent,Population,GDP,HappinessIndex
China,Asia,1393,14722.73,5.1
India,Asia,1351,2875.14,4.2
United States,North America,331,21427.23,7.2
Indonesia,Asia,273,1158.42,5.3
Pakistan,Asia,220,302.14,5.4
Brazil,South America,212,1839.76,6.4
Nigeria,Africa,206,429.77,5.0
Bangladesh,Asia,163,317.47,4.5
Russia,Europe,146,1699.88,5.8
Mexico,North America,128,1258.26,6.5
Japan,Asia,126,5081.77,6.0
Ethiopia,Africa,114,96.11,4.3
Philippines,Asia,109,376.80,5.7
Egypt,Africa,102,303.18,4.7
Vietnam,Asia,97,340.60,5.5
DR Congo,Africa,89,49.25,4.1
Turkey,Europe,84,761.43,5.4
Iran,Asia,83,610.66,4.8
Germany,Europe,83,3962.56,7.0
Thailand,Asia,70,543.65,6.1
""
