""
City,Avg Rainfall (mm),Avg Temp (°C),Tourist Arrivals (millions)
Paris,53,15.5,17.44
London,47,14.3,19.10
Rome,60,18.1,10.32
New York,98,12.6,13.40
Tokyo,105,16.2,13.98
Bangkok,150,28.2,22.67
Sydney,86,18.5,9.23
Dubai,10,28.9,16.33
Singapore,178,27.8,18.50
Hong Kong,156,24.0,9.03
Los Angeles,26,18.3,9.50
Barcelona,72,17.8,9.09
Istanbul,85,15.2,14.72
Amsterdam,66,12.3,9.72
Berlin,45,10.2,7.23
Cape Town,52,17.3,1.93
Toronto,77,9.1,4.97
Rio de Janeiro,101,25.1,2.33
Moscow,70,5.4,5.82
Dubai,10,28.9,16.33
""
