""
Country,Research Papers,Funding,Impact Factor
China,15000,2000000,50
United States,18000,2500000,60
India,12000,500000,45
Russia,8000,400000,35
Japan,11000,1500000,55
Germany,9500,1300000,52
Iran,6000,300000,28
Saudi Arabia,4000,600000,30
South Korea,8500,800000,40
Canada,7000,1100000,48
Brazil,9000,700000,38
Australia,5000,900000,43
United Kingdom,10000,1400000,53
France,9500,1200000,49
Italy,7500,1000000,42
South Africa,3000,200000,25
Mexico,4000,300000,33
Indonesia,2000,100000,20
Turkey,5000,400000,34
Ukraine,2500,150000,22
""
