""
Category,Age Group,Popularity Score,Number of Participants,Activity
Technology,13-18,85,300000,Learning Coding
Technology,19-25,90,500000,Learning Coding
Technology,26-35,80,400000,Learning Coding
Technology,36-45,75,250000,Learning Coding
Technology,46-55,70,150000,Learning Coding
Technology,56+,60,80000,Learning Coding
Travel,13-18,65,200000,Adventure Trips
Travel,19-25,80,600000,Adventure Trips
Travel,26-35,85,550000,Adventure Trips
Travel,36-45,70,300000,Adventure Trips
Travel,46-55,60,200000,Adventure Trips
Travel,56+,50,100000,Adventure Trips
Fitness,13-18,70,450000,Yoga
Fitness,19-25,85,600000,Yoga
Fitness,26-35,80,350000,Yoga
Fitness,36-45,75,200000,Yoga
Fitness,46-55,65,100000,Yoga
Fitness,56+,55,50000,Yoga
""
