""
Genre,Followers,Popularity,Influence
Rock,1200,90,8.9
Pop,1500,85,9.3
Hip-Hop,1100,95,9.5
Jazz,300,60,7.0
Classical,200,40,6.5
Country,500,70,7.8
Electronic,800,75,8.2
Reggae,400,65,7.3
Blues,250,55,6.8
Latin,600,80,8.0
R&B,1000,88,8.7
K-Pop,900,92,9.0
Folk,350,50,6.7
Metal,450,77,8.1
Gospel,180,35,6.3
Disco,130,45,6.4
Opera,100,30,5.8
Punk,380,72,7.6
Soul,420,68,7.4
Funk,320,62,7.2
Ambient,150,38,6.0
New Age,220,48,6.6
House,780,82,8.4
Trance,640,79,8.3
Ska,360,66,7.5
Afrobeat,270,54,6.9
""
