""
Country,Books Published,Population (Millions),Literacy Rate
United States,300000,331,99
China,500000,1439,96
Japan,200000,126,99
Germany,150000,83,99
India,1000000,1380,74
United Kingdom,120000,67,99
France,110000,65,99
Brazil,90000,212,93
Italy,80000,60,99
Canada,70000,38,99
South Korea,60000,51,99
Russia,85000,146,96
Australia,75000,25,99
Mexico,50000,129,95
Indonesia,40000,273,95
Netherlands,45000,17,99
Saudi Arabia,20000,35,95
Turkey,30000,84,95
Switzerland,35000,9,99
Taiwan,25000,24,99
Argentina,15000,45,98
Nigeria,5000,206,62
South Africa,8000,59,87
Egypt,6000,104,71
Thailand,12000,70,94
Sweden,22000,10,99
Norway,18000,5,99
Vietnam,17000,97,94
Philippines,14000,109,98
Malaysia,13000,32,95
Colombia,10000,51,95
Singapore,16000,6,97
""
