""
Age Group,Average Trips per Year,Number of Travelers,Platform
13-18,2,400000,TripAdvisor
13-18,1.5,300000,Expedia
13-18,0.8,150000,Booking
19-25,3.5,600000,TripAdvisor
19-25,2.5,500000,Expedia
19-25,1.2,250000,Booking
26-35,4,700000,TripAdvisor
26-35,3,600000,Expedia
26-35,1.5,300000,Booking
36-45,3.5,500000,TripAdvisor
36-45,2.5,400000,Expedia
36-45,1.2,200000,Booking
46-55,3,300000,TripAdvisor
46-55,2,250000,Expedia
46-55,1,120000,Booking
56+,2.5,200000,TripAdvisor
56+,1.5,150000,Expedia
56+,0.8,80000,Booking
""
