""
Activity,Average_Hours,Participants
Yoga,5,12000
Meditation,4,10000
Running,6,15000
Cycling,5,13000
Strength_Training,4,11000
Pilates,3,8000
Swimming,4,9000
Hiking,7,14000
Dancing,5,11000
Tai_Chi,4,7000
Boxing,3,6000
Aerobics,4,8500
Rock_Climbing,6,7500
Crossfit,4,9500
Zumba,5,10000
Jump_Rope,3,5000
Soccer,6,16000
Basketball,5,15000
Tennis,4,13000
Badminton,3,12000
Volleyball,4,14000
Table_Tennis,3,11000
Martial_Arts,4,10500
Gymnastics,5,9500
Surfing,6,8000
Skating,4,8500
Skiing,5,7000
Snowboarding,5,6500
Fishing,4,7500
Hunting,5,6000
""
