""
City,Population,GDP_per_capita,Number_of_Museums
New York,8419000,70000,100
Tokyo,13929000,62000,150
Bangkok,10539000,22000,80
Sydney,5312000,65000,90
Dubai,3331400,45000,50
Singapore,5607300,62000,70
Hong Kong,7409800,45000,40
Los Angeles,3980400,67000,110
Barcelona,5585550,40000,70
Istanbul,15519267,15000,60
Amsterdam,821752,52000,30
Berlin,3644826,55000,50
Cape Town,433688,20000,40
Toronto,2930000,55000,85
Rio de Janeiro,6748000,15000,55
Moscow,12506468,32000,65
Chicago,2675000,60000,75
Miami,467963,50000,60
Mexico City,9209944,10000,50
Shanghai,24237800,20000,45
""
