""
Country,Travelers per Year (millions),Tourism Revenue (billions USD),Satisfaction Rating
France,90,70,85
Spain,82,60,82
United States,79,240,78
China,63,130,75
Italy,62,55,80
Turkey,52,40,74
Mexico,45,35,77
Germany,39,45,83
Thailand,39,50,76
United Kingdom,37,36,81
Japan,32,39,84
Austria,31,19,88
Malaysia,26,20,73
Greece,24,18,86
Russia,22,17,70
Canada,22,30,80
Australia,21,35,79
Hong Kong,20,27,85
Singapore,19,20,87
Indonesia,16,15,72
Brazil,14,25,69
India,11,28,67
Netherlands,10,21,81
Egypt,9,13,65
South Africa,8,10,68
Argentina,7,12,66
Vietnam,7,14,71
""
