""
Country,Daily Steps (thousands),Hours of Sleep,BMI,Color
United States,4.7,6.8,29.1,#FF5733
China,6.5,7.2,23.7,#33FF57
Japan,7.1,7.6,22.5,#3357FF
Germany,5.8,7.0,26.3,#FF33A1
India,6.0,6.5,23.0,#FF8333
United Kingdom,5.9,6.9,27.5,#33FFF5
France,6.3,7.4,24.1,#FF5733
Brazil,5.1,6.8,27.9,#5733FF
Italy,6.2,7.3,25.3,#33FF57
Canada,5.5,7.1,26.5,#5733FF
Russia,5.6,6.7,27.8,#FF5733
South Korea,7.2,7.5,23.5,#33FF57
Spain,6.1,7.4,24.9,#3357FF
Australia,5.7,6.9,26.7,#FF33A1
Mexico,4.8,6.5,28.6,#33FFF5
""
