""
Cities,Population Density (people/km²),Avg Green Space (%),Quality of Life Index
Paris,21300,10.1,176.2
London,5600,33.4,167.6
Rome,2200,12.7,151.1
New York,10800,14.0,156.4
Tokyo,6400,7.5,172.3
Bangkok,6200,3.6,138.7
Sydney,400,46.0,190.4
Dubai,900,2.0,147.3
Singapore,8300,47.0,178.1
Hong Kong,7000,40.0,168.5
Los Angeles,3200,14.0,170.1
Barcelona,16000,11.2,165.4
Istanbul,2800,1.2,127.3
Amsterdam,5000,20.2,179.6
Berlin,4000,30.0,182.7
Cape Town,1500,23.0,165.3
Toronto,4400,12.5,180.1
Rio de Janeiro,5300,6.3,130.8
Moscow,4900,30.7,155.2
Dubai,900,2.0,147.3
""
