""
Category,Calories,Protein (g),Satisfaction Score
Thriller,300,10,85
Comedy,400,8,78
Drama,500,12,82
Action,350,15,90
Romance,250,5,70
Documentary,150,7,75
Horror,450,6,65
Sci-Fi,350,13,88
Animation,300,9,80
Mystery,275,11,76
Biography,200,10,74
Fantasy,400,14,92
Musical,500,16,84
Adventure,450,13,89
Crime,375,12,77
Family,275,8,73
Western,350,10,79
War,425,11,86
Historical,300,9,81
Sport,375,14,88
Superhero,475,15,91
Anime,325,10,79
Independent,275,7,72
Experimental,225,8,65
Period,350,11,80
Film-Noir,250,6,68
""
