""
Country,Num_Gyms,Avg_Membership_Cost,Avg_Monthly_Attendance
United States,40000,45,35000
Germany,9500,35,8000
Brazil,30000,25,20000
Canada,8000,40,5000
Australia,5000,50,7000
Japan,12000,30,15000
United Kingdom,10000,42,9000
China,60000,20,60000
South Korea,7000,28,10000
India,25000,18,40000
Italy,7000,37,6000
France,9000,39,8000
Spain,8000,38,7000
Russia,15000,22,12000
Mexico,12000,25,10000
Indonesia,20000,15,25000
South Africa,6000,30,5000
Saudi Arabia,3000,50,4000
Turkey,11000,20,9000
Argentina,5000,22,6000
""
