""
Author,Average Book Sales,Number of Published Works,Popularity
J.K. Rowling,80000000,7,97
George R.R. Martin,50000000,30,94
J.R.R. Tolkien,70000000,15,96
Agatha Christie,100000000,85,93
Stephen King,60000000,63,92
Dan Brown,55000000,7,89
J.D. Salinger,45000000,10,88
Jane Austen,40000000,6,90
Mark Twain,35000000,28,85
Charles Dickens,75000000,20,91
Ernest Hemingway,30000000,9,87
F. Scott Fitzgerald,20000000,5,80
Harper Lee,15000000,1,78
Mary Shelley,18000000,8,77
Leo Tolstoy,17000000,20,82
Gabriel Garcia Marquez,25000000,25,83
H.G. Wells,12000000,50,79
Isaac Asimov,35000000,40,84
Arthur Conan Doyle,20000000,60,81
Edgar Allan Poe,14000000,15,76
Herman Melville,11000000,12,75
Virginia Woolf,16000000,9,74
""
