""
Manufacturer,Market Share (%),Units Sold (millions),Average Price ($)
Gucci,4.5,45,1500
Chanel,6.2,70,1700
Louis Vuitton,7.8,90,1800
Prada,3.4,35,1400
Hermes,5.6,60,1600
Dior,8.1,100,1750
Versace,2.9,30,1200
Fendi,3.1,40,1300
Burberry,4.0,50,1450
Ralph Lauren,4.8,55,1350
Dolce & Gabbana,3.7,38,1250
Givenchy,2.5,28,1150
Balenciaga,1.9,20,1100
Valentino,2.3,25,1050
Tom Ford,3.0,32,1500
Yves Saint Laurent,6.0,65,1550
Armani,4.1,48,1400
Marc Jacobs,2.7,22,1180
Bottega Veneta,1.8,18,1300
Alexander McQueen,2.6,27,1270
""
