""
Category,Calories,Protein (g),Satisfaction Score
North America,250,20,75
South America,300,15,80
Europe,350,25,85
Africa,200,10,70
Asia,400,30,90
Australia,350,20,88
Antarctica,100,5,60
Arctic,150,10,65
Indian Ocean,275,18,78
Pacific Ocean,320,22,82
Atlantic Ocean,290,16,77
Caribbean,240,12,74
Mediterranean,330,26,83
Middle East,310,24,81
Central Asia,270,19,79
Eastern Europe,260,17,76
Western Europe,340,27,84
Northern Europe,285,20,80
Southern Europe,365,28,86
Eastern Asia,390,29,89
South Asia,380,27,87
Southeast Asia,355,23,85
Central America,325,21,81
Eastern Africa,240,14,72
Western Africa,230,12,70
Northern Africa,250,15,75
Southern Africa,265,18,77
North Pole,105,6,62
South Pole,120,8,65
""
