""
Category,Investment,Revenue,ROI
Technology,500,1500,200
Healthcare,600,1300,150
Finance,450,1200,167
Retail,550,1400,155
Energy,400,1100,175
Real Estate,700,1600,129
Telecom,350,1000,186
Automobile,300,900,200
Pharmaceuticals,800,1700,113
Food & Beverage,450,1150,156
Education,500,1300,160
Hospitality,600,1450,142
Media,550,1250,127
Transport,400,1050,163
Aerospace,700,1550,121
Agriculture,650,1350,107
Mining,300,950,217
Logistics,500,1400,180
Construction,600,1200,100
Fashion,450,1100,144
""
