""
Category,Discoveries (millions),Avg. Time Spent (mins),Funding (billions)
Astronomy,100,60,5
Astrobiology,85,45,3
Cosmology,150,90,7
Exoplanet Research,120,50,4
Stellar Physics,70,80,2.5
Galactic Astronomy,60,55,2
Planetary Science,130,65,6
Radio Astronomy,90,40,3.5
Space Missions,110,75,8
Space Telescopes,95,70,4.5
Astronautics,105,85,5.5
Space Technology,115,60,6.5
Dark Matter Research,80,50,4
Gravitational Waves,125,95,7.5
Solar Physics,70,40,2.8
Astrophysics,140,85,7
Observational Astronomy,75,45,3.2
Theoretical Astronomy,85,50,4.1
Astrochemistry,90,65,3.8
Astroinformatics,95,55,4.6
""
