""
City,Rating,Reviews,Visitors
Broadway,8.5,4000,15000000
Hollywood,7.8,3500,10000000
Disneyland,9.0,5000,18000000
Grand_Canyon,8.9,4500,6000000
Yellowstone,8.7,4200,4000000
Times_Square,8.4,3800,50000000
Central_Park,8.6,3900,42000000
Las_Vegas_Strip,8.2,3700,43000000
Golden_Gate_Bridge,8.1,3600,10000000
Statue_of_Liberty,8.3,3750,4200000
Universal_Studios,8.8,4100,9500000
Mall_of_America,8.0,3400,40000000
Niagara_Falls,8.9,4600,8000000
Smithsonian_Museums,8.7,4300,30000000
Metropolitan_Museum_of_Art,8.4,3950,6000000
""
