""
Country,Average_Life_Expectancy,Average_Health_Expenditure,GDP_per_Capita
United States,78.9,10624,63000
Canada,82.3,5780,48400
Germany,81.2,6665,51600
United Kingdom,81.0,4000,43000
France,82.4,4826,41800
Australia,82.8,5274,54900
Japan,84.6,4710,42600
China,76.4,501,10800
India,69.4,154,2200
Brazil,75.7,1008,8900
Russia,73.1,1460,11300
South Africa,63.6,525,6000
Nigeria,54.7,78,2400
Mexico,75.0,1118,10200
Indonesia,71.7,112,4100
Turkey,77.4,953,10100
Argentina,76.5,926,8900
South Korea,83.3,3078,32500
Italy,83.5,3624,34400
Spain,83.4,3441,30100
Saudi Arabia,75.0,2615,23400
Sweden,82.6,5831,54100
Norway,82.5,7230,75700
Switzerland,83.6,9847,81700
Netherlands,82.1,5154,52900
Belgium,81.4,5078,46400
Austria,81.9,5460,51500
Denmark,81.2,6187,60100
Greece,81.0,2053,22000
Portugal,81.6,2566,23900
""
