""
Topic,Price,Popularity,Rating
Smartphone,700,400,85
Laptop,1200,350,90
Tablet,500,300,78
Smartwatch,300,250,82
Camera,800,450,88
Headphones,150,200,75
Speaker,100,180,80
Television,1000,380,87
Printer,200,220,76
Monitor,300,270,83
Keyboard,50,150,72
Mouse,30,130,70
Router,120,160,74
Smart Home Hub,250,210,81
VR Headset,600,300,86
Drone,900,330,89
Fitness Tracker,200,240,77
E-Reader,150,200,84
Smart Glasses,400,280,88
Portable Charger,50,170,79
Gaming Console,500,320,92
Projector,600,290,85
Action Camera,450,260,82
Digital Frame,100,190,73
Electric Scooter,800,340,91
Wireless Charger,70,160,78
""
