""
Category,Type,Participants,Funding,Expenses,Impact
Marathon,Running,50000,700000,600000,90
Yoga Retreat,Wellness,10000,150000,100000,80
Fitness Bootcamp,Training,15000,200000,150000,85
Cycling Event,Biking,30000,400000,350000,88
CrossFit Competition,Strength,20000,300000,250000,75
Swim Meet,Swimming,25000,350000,300000,83
Dance Workshop,Dance,12000,180000,140000,78
Tennis Tournament,Tennis,18000,270000,230000,80
Hiking Expedition,Hiking,8000,120000,90000,70
Gymnastics Showcase,Gymnastics,10000,150000,120000,85
Soccer League,Soccer,35000,500000,450000,95
Basketball Tournament,Basketball,30000,450000,400000,92
Boxing Match,Boxing,22000,320000,280000,85
Triathlon,Triathlon,18000,270000,220000,88
Martial Arts Expo,Martial Arts,14000,200000,160000,82
Climbing Challenge,Climbing,9000,130000,110000,75
""
