""
Category,Age Group,Hours
Traveling,18-24,1.0
Traveling,25-34,1.2
Traveling,35-44,1.3
Traveling,45-54,1.1
Traveling,55-64,0.9
Traveling,65+,0.8
Reading,18-24,1.5
Reading,25-34,1.6
Reading,35-44,1.4
Reading,45-54,1.3
Reading,55-64,1.1
Reading,65+,1.0
Watching TV,18-24,2.5
Watching TV,25-34,2.7
Watching TV,35-44,2.8
Watching TV,45-54,3.0
Watching TV,55-64,3.2
Watching TV,65+,3.5
Social Media,18-24,3.0
Social Media,25-34,2.8
Social Media,35-44,2.5
Social Media,45-54,2.3
Social Media,55-64,2.0
Social Media,65+,1.5
Gaming,18-24,2.0
Gaming,25-34,1.8
Gaming,35-44,1.5
Gaming,45-54,1.2
Gaming,55-64,1.0
Gaming,65+,0.7
""
