""
Country,Population (millions),GDP (billions),GDP per Capita
China,1398,14342,10254
India,1326,2875,2169
United States,329,21433,65118
Indonesia,267,1059,3969
Brazil,211,1839,8712
Pakistan,206,284,1380
Nigeria,200,448,2235
Bangladesh,163,317,1942
Russia,146,1680,11510
Mexico,127,1198,9437
Japan,126,5050,40039
Ethiopia,115,95,826
Philippines,108,376,3481
Egypt,100,303,3030
Vietnam,96,261,2721
DR Congo,89,47,528
Turkey,82,754,9195
Iran,82,458,5585
Germany,83,3846,46349
Thailand,69,543,7870
France,67,2715,40537
United Kingdom,66,2827,42834
Italy,60,2003,33383
South Africa,58,351,6052
Myanmar,54,76,1407
South Korea,51,1646,32294
Colombia,50,324,6474
Spain,47,1393,29638
Ukraine,44,153,3477
Tanzania,56,62,1107
""
