""
Country,Scientific Research Expenditure,Number of Research Papers,Population
United States,600,1100000,331
China,500,900000,1402
India,250,300000,1380
Germany,400,500000,83
Japan,350,400000,126
South Korea,200,250000,51
United Kingdom,300,350000,68
France,250,300000,65
Italy,150,200000,60
Canada,200,230000,38
Australia,180,210000,26
Spain,130,180000,47
Brazil,100,150000,213
Russia,220,270000,146
Netherlands,160,200000,17
Sweden,140,170000,10
Switzerland,150,180000,8
Israel,100,140000,9
South Africa,80,90000,59
Saudi Arabia,90,110000,34
""
