""
Country,Research Institutions,Funding (in USD),Impact Factor
United States,3500,5000000,85
China,3000,4800000,80
Germany,2500,3500000,78
United Kingdom,2200,3400000,76
Japan,2100,3200000,74
France,1900,3100000,72
South Korea,1800,3000000,71
India,1700,2800000,69
Canada,1600,2700000,68
Australia,1500,2600000,67
Italy,1400,2500000,66
Spain,1300,2400000,65
Netherlands,1200,2300000,64
Russia,1100,2200000,63
Brazil,1000,2100000,62
Sweden,900,2000000,61
Switzerland,800,1900000,60
South Africa,700,1800000,59
Mexico,600,1700000,58
Argentina,500,1600000,57
""
