""
Age, Exercise_Hours, Participants, Sleep_Hours, Sleep_Participants, Work_Hours, Work_Participants
20, 1.5, 65, 7, 80, 4, 90
25, 2.0, 70, 6.8, 75, 4.5, 85
30, 2.2, 60, 6.5, 70, 5, 80
35, 2.5, 75, 6.3, 85, 5.5, 75
40, 2.8, 80, 6.0, 90, 6, 70
45, 3.0, 90, 5.8, 95, 6.5, 65
50, 2.5, 85, 5.5, 80, 6, 75
55, 2.3, 70, 5.2, 70, 5.8, 60
60, 2.0, 65, 5.0, 60, 5.5, 55
65, 1.8, 60, 4.8, 55, 5.2, 50
70, 1.5, 55, 4.5, 50, 5, 45
75, 1.3, 50, 4.2, 45, 4.8, 40
80, 1.0, 45, 4.0, 40, 4.5, 35
85, 0.8, 40, 3.8, 35, 4.2, 30
""
