""
Category,Movie,Box Office Revenue,Audience Rating,Reviews Count
Science Fiction,Movie A,1200000,85,300
Science Fiction,Movie B,1500000,88,400
Drama,Movie A,1000000,90,500
Drama,Movie B,2000000,92,800
Action,Movie A,1800000,75,450
Action,Movie B,2200000,80,600
Comedy,Movie A,1600000,70,350
Comedy,Movie B,1900000,73,420
Romance,Movie A,1400000,78,310
Romance,Movie B,1700000,82,390
Thriller,Movie A,1300000,88,280
Thriller,Movie B,1600000,91,370
Horror,Movie A,1100000,65,260
Horror,Movie B,1400000,68,330
Documentary,Movie A,900000,95,200
Documentary,Movie B,1200000,97,290
Animation,Movie A,1900000,83,500
Animation,Movie B,2100000,86,570
Fantasy,Movie A,1700000,89,450
Fantasy,Movie B,2000000,93,520
""
