""
Region,Designer,Revenue,Profit,Units Sold
North America,Designer A,32000,9000,600
North America,Designer B,34000,10000,550
Europe,Designer A,30000,8000,450
Europe,Designer B,36000,9500,500
Asia,Designer A,25000,6000,700
Asia,Designer B,42000,12000,300
South America,Designer A,21000,5000,650
South America,Designer B,38000,11000,450
Africa,Designer A,13000,3000,200
Africa,Designer B,19000,4500,350
Australia,Designer A,18000,5500,400
Australia,Designer B,26000,7000,300
North America,Designer C,29000,8000,500
Europe,Designer C,31000,8500,400
Asia,Designer C,28000,7500,600
South America,Designer C,23000,6000,500
Africa,Designer C,15000,3500,250
Australia,Designer C,22000,5000,350
""
