""
Date,Average Steps
2023-01-01,3000
2023-01-02,3200
2023-01-03,3400
2023-01-04,3300
2023-01-05,3500
2023-01-06,3600
2023-01-07,3700
2023-01-08,3800
2023-01-09,3550
2023-01-10,3650
2023-01-11,3400
2023-01-12,3600
2023-01-13,3750
2023-01-14,3850
2023-01-15,3900
2023-01-16,3950
2023-01-17,4000
2023-01-18,4100
2023-01-19,4150
2023-01-20,4200
2023-01-21,4300
2023-01-22,4250
2023-01-23,4350
2023-01-24,4400
2023-01-25,4450
2023-01-26,4500
2023-01-27,4550
2023-01-28,4600
2023-01-29,4650
2023-01-30,4700
""
