""
Date,CO2 Levels
2020-01,415.25
2020-02,416.75
2020-03,417.30
2020-04,416.45
2020-05,417.65
2020-06,416.15
2020-07,415.95
2020-08,416.80
2020-09,416.30
2020-10,417.10
2020-11,416.90
2020-12,417.00
2021-01,418.20
2021-02,418.75
2021-03,419.30
2021-04,418.45
2021-05,419.65
2021-06,418.15
2021-07,417.95
2021-08,418.80
2021-09,418.30
2021-10,419.10
2021-11,418.90
2021-12,419.00
2022-01,420.20
2022-02,420.75
2022-03,421.30
2022-04,420.45
2022-05,421.65
2022-06,420.15
2022-07,419.95
2022-08,420.80
2022-09,420.30
2022-10,421.10
2022-11,420.90
2022-12,421.00
""
