""
Date,Steps,SleepHours
2024-06-01,7500,7
2024-06-02,8000,6.5
2024-06-03,8200,7.2
2024-06-04,8500,7.1
2024-06-05,9000,6.8
2024-06-06,9200,7.4
2024-06-07,9400,7.3
2024-06-08,8800,7.6
2024-06-09,8600,7.5
2024-06-10,8700,6.9
2024-06-11,8900,7.2
2024-06-12,9100,7.3
2024-06-13,9300,7
2024-06-14,9400,7.4
2024-06-15,9500,7.1
2024-06-16,9700,7.5
2024-06-17,9800,7.6
2024-06-18,9900,7.7
2024-06-19,10000,7.8
2024-06-20,10100,7.4
2024-06-21,10200,7.5
2024-06-22,10300,7.6
2024-06-23,10400,7.2
2024-06-24,10500,7.1
2024-06-25,10600,7.3
2024-06-26,10700,7.4
2024-06-27,10800,7.5
2024-06-28,10900,7.6
2024-06-29,11000,7.7
2024-06-30,11100,7.8
""
