""
Date,Technology A,Technology B,Technology C
2024-01-01,120,85,95
2024-02-01,135,90,100
2024-03-01,150,95,110
2024-04-01,165,100,120
2024-05-01,180,110,130
2024-06-01,195,115,140
2024-07-01,210,120,150
2024-08-01,225,130,160
2024-09-01,240,135,170
2024-10-01,255,140,180
2024-11-01,270,145,190
2024-12-01,285,150,200
2025-01-01,300,160,210
2025-02-01,315,165,220
2025-03-01,330,170,230
2025-04-01,345,175,240
2025-05-01,360,185,250
2025-06-01,375,190,260
2025-07-01,390,195,270
2025-08-01,405,200,280
2025-09-01,420,210,290
2025-10-01,435,215,300
2025-11-01,450,220,310
2025-12-01,465,225,320
""
