""
Date,Population
2020-01,1000
2020-02,1050
2020-03,1100
2020-04,1150
2020-05,1200
2020-06,1250
2020-07,1300
2020-08,1350
2020-09,1400
2020-10,1450
2020-11,1500
2020-12,1550
2021-01,1600
2021-02,1650
2021-03,1700
2021-04,1750
2021-05,1800
2021-06,1850
2021-07,1900
2021-08,1950
2021-09,2000
2021-10,2050
2021-11,2100
2021-12,2150
2022-01,2200
2022-02,2250
2022-03,2300
2022-04,2350
2022-05,2400
2022-06,2450
2022-07,2500
2022-08,2550
2022-09,2600
2022-10,2650
2022-11,2700
2022-12,2750
2023-01,2800
2023-02,2850
2023-03,2900
2023-04,2950
2023-05,3000
2023-06,3050
2023-07,3100
2023-08,3150
2023-09,3200
2023-10,3250
2023-11,3300
2023-12,3350
""
