""
Date,Value
2023-01-01,1200
2023-02-01,1150
2023-03-01,1100
2023-04-01,1075
2023-05-01,1050
2023-06-01,1025
2023-07-01,1000
2023-08-01,975
2023-09-01,950
2023-10-01,925
2023-11-01,900
2023-12-01,875
2024-01-01,850
2024-02-01,825
2024-03-01,800
2024-04-01,775
2024-05-01,750
2024-06-01,725
2024-07-01,700
2024-08-01,675
2024-09-01,650
2024-10-01,625
2024-11-01,600
2024-12-01,575
2025-01-01,550
2025-02-01,525
2025-03-01,500
2025-04-01,475
2025-05-01,450
2025-06-01,425
2025-07-01,400
2025-08-01,375
2025-09-01,350
2025-10-01,325
2025-11-01,300
2025-12-01,275
2026-01-01,250
2026-02-01,225
2026-03-01,200
2026-04-01,175
2026-05-01,150
2026-06-01,125
2026-07-01,100
2026-08-01,75
2026-09-01,50
2026-10-01,25
2026-11-01,0
""
