""
Date,Exoplanet Discoveries
2000-01,1
2000-02,3
2000-03,5
2000-04,2
2000-05,6
2000-06,8
2000-07,10
2000-08,7
2000-09,9
2000-10,11
2000-11,13
2000-12,12
2001-01,14
2001-02,15
2001-03,18
2001-04,20
2001-05,21
2001-06,22
2001-07,19
2001-08,17
2001-09,16
2001-10,23
2001-11,24
2001-12,25
2002-01,27
2002-02,29
2002-03,30
2002-04,28
2002-05,26
2002-06,31
2002-07,32
2002-08,33
2002-09,35
2002-10,34
2002-11,36
2002-12,38
2003-01,37
2003-02,39
2003-03,40
2003-04,41
2003-05,43
2003-06,42
2003-07,44
2003-08,45
2003-09,47
2003-10,46
2003-11,48
2003-12,50
""
