""
Date,Stock Price
2023-01-01,150
2023-02-01,145
2023-03-01,155
2023-04-01,148
2023-05-01,160
2023-06-01,152
2023-07-01,165
2023-08-01,158
2023-09-01,170
2023-10-01,162
2023-11-01,175
2023-12-01,168
2024-01-01,180
2024-02-01,172
2024-03-01,185
2024-04-01,178
2024-05-01,190
2024-06-01,182
2024-07-01,195
2024-08-01,188
2024-09-01,200
2024-10-01,192
2024-11-01,205
2024-12-01,198
2025-01-01,210
2025-02-01,202
2025-03-01,215
2025-04-01,208
2025-05-01,220
2025-06-01,212
2025-07-01,225
2025-08-01,218
2025-09-01,230
2025-10-01,222
2025-11-01,235
2025-12-01,228
""
