""
Date,Technology Development Index
2020-01,70
2020-02,72
2020-03,71
2020-04,75
2020-05,73
2020-06,76
2020-07,78
2020-08,77
2020-09,79
2020-10,81
2020-11,82
2020-12,84
2021-01,83
2021-02,85
2021-03,87
2021-04,88
2021-05,90
2021-06,89
2021-07,91
2021-08,93
2021-09,94
2021-10,95
2021-11,96
2021-12,98
2022-01,99
2022-02,100
2022-03,101
2022-04,102
2022-05,103
2022-06,104
2022-07,105
2022-08,106
2022-09,107
2022-10,108
2022-11,109
2022-12,110
2023-01,111
2023-02,112
2023-03,113
2023-04,114
2023-05,115
2023-06,116
2023-07,117
2023-08,118
2023-09,119
2023-10,120
2023-11,121
2023-12,122
""
